IdNum;selected;sessionId;assetLabel;socketType;startTime;stopTime;duration;totalDurationMinute;energy;consoTotalMinute;energyUnit;priceOfKw;priceInclVat;vatAmount;priceExclVat;priceByHour;currency;vatPercent;gamme de prix;segment 01;segment 02;segment 03;segment 04;segment 05;segment 06;segment 07;segment 08;segment 09;segment 10;segment 11;Subject;Author;Source;Layer;Annot_ID;Annot_UID;Modification Date;Page;pdf_filename
1;VRAI;2021-05-12 15H-27MM;FR * ION * E401902;HPC (High Power Current);2021-05-12 15:27:00+02:00;2021-05-12 15:52:00+02:00;00:25:00;25.000;40,468;1.619;kWh;0.149;6.0425;0;6.043;14.502;EUR;0.000;[0.1, 0.2];FAUX;VRAI;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;IDATA_STAMP_01;i.ymv;IDATA_SRC_DATARECORD;iData;598;f07eb661-4175-47bf-9d14-0d9210e21a95;2023-06-22 17:06:41 +02'00';3;BASE_DE_DONNEES_REVEO_MERCEDES.pdf
2;VRAI;2021-05-13 10H-03MM;FR * ION * E402705;HPC (High Power Current);2021-05-13 10:03:00+02:00;2021-05-13 10:26:00+02:00;00:23:00;23.000;33,354;1.450;kWh;0.167;5.5591;0;5.559;14.502;EUR;0.000;[0.1, 0.2];FAUX;VRAI;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;IDATA_STAMP_01;i.ymv;IDATA_SRC_DATARECORD;iData;600;9dfb7a66-fa69-4b64-8843-3ac420f2a839;2023-06-22 17:06:41 +02'00';3;BASE_DE_DONNEES_REVEO_MERCEDES.pdf
3;VRAI;2021-05-15 09H-59MM;FR * ION * E402803;HPC (High Power Current);2021-05-15 09:59:00+02:00;2021-05-13 10:19:00+02:00;00:20:00;20.000;22,779;1.139;kWh;0.212;4.8340;0;4.834;14.502;EUR;0.000;[0.2, 0.3];FAUX;FAUX;VRAI;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;IDATA_STAMP_01;i.ymv;IDATA_SRC_DATARECORD;iData;602;eac1e94e-d9fb-432d-8f6a-29455d4dc259;2023-06-22 17:06:41 +02'00';3;BASE_DE_DONNEES_REVEO_MERCEDES.pdf
4;VRAI;2021-05-16 09H-59MM;FR * ION * E402803;HPC (High Power Current);2021-05-15 09:59:00+02:00;2021-05-13 10:25:00+02:00;00:26:00;26.000;21,498;0.827;kWh;0.292;6.2842;0;6.284;14.502;EUR;0.000;[0.2, 0.3];FAUX;FAUX;VRAI;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;IDATA_STAMP_01;i.ymv;IDATA_SRC_DATARECORD;iData;606;bb3c0053-73d1-4d4d-ab88-8d6fbb41728a;2023-06-22 17:06:41 +02'00';3;BASE_DE_DONNEES_REVEO_MERCEDES.pdf
5;VRAI;2021-05-15 15H-15MM;FR * ION * E402704;HPC (High Power Current);2021-05-15 15:15:00+02:00;2021-05-13 15:41:00+02:00;00:26:00;26.000;36,133;1.390;kWh;0.174;6.2842;0;6.284;14.502;EUR;0.000;[0.1, 0.2];FAUX;VRAI;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;IDATA_STAMP_01;i.ymv;IDATA_SRC_DATARECORD;iData;604;9ca3ecff-aca0-4d51-8cd6-52bac4868a56;2023-06-22 17:06:41 +02'00';3;BASE_DE_DONNEES_REVEO_MERCEDES.pdf
6;VRAI;2021-05-16 11H-54MM;FR * ION * E401804;HPC (High Power Current);2021-05-16 11:54:00+02:00;2021-05-16 12:45:00+02:00;00:51:00;51.000;56,233;1.103;kWh;0.219;12.3267;0;12.327;14.502;EUR;0.000;[0.2, 0.3];FAUX;FAUX;VRAI;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;IDATA_STAMP_01;i.ymv;IDATA_SRC_DATARECORD;iData;608;14bb5d83-4859-4ede-a8f8-d5fb103d48cf;2023-06-22 17:06:41 +02'00';3;BASE_DE_DONNEES_REVEO_MERCEDES.pdf
7;VRAI;2021-05-21 18H-09MM;FR * ION * E409602;HPC (High Power Current);2021-05-21 18:09:00+02:00;2021-05-21 18:34:00+02:00;00:25:00;25.000;40,798;1.632;kWh;0.148;6.0425;0;6.043;14.502;EUR;0.000;[0.1, 0.2];FAUX;VRAI;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;IDATA_STAMP_01;i.ymv;IDATA_SRC_DATARECORD;iData;610;fc8a1cec-8af7-4d54-9641-4cf0f71b1133;2023-06-22 17:06:41 +02'00';3;BASE_DE_DONNEES_REVEO_MERCEDES.pdf
8;VRAI;2021-05-24 11H-46MM;FR * ION * E404501;HPC (High Power Current);2021-05-24 11:46:00+02:00;2021-05-24 12:35:00+02:00;00:49:00;49.000;33,634;0.686;kWh;0.352;11.8433;0;11.843;14.502;EUR;0.000;[0.3, 0.4];FAUX;FAUX;FAUX;VRAI;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;IDATA_STAMP_01;i.ymv;IDATA_SRC_DATARECORD;iData;612;62708c5c-3f57-456b-8285-d7f30dbd9b7b;2023-06-22 17:06:41 +02'00';3;BASE_DE_DONNEES_REVEO_MERCEDES.pdf
9;VRAI;qwd94A4kVb9;FR*M34*E34172*015*1*1;Unknown (not specified);2021-05-25 21:09:38+02:00;2021-05-26 05:29:33+02:00;08:19:55;499.000;27,392;0.055;kWh;0.055;1,5;0,25;1.250;0.180;EUR;20.000;[0, 0.1];VRAI;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;IDATA_STAMP_01;i.ymv;IDATA_SRC_DATARECORD;iData;913;a23ab52b-c774-4483-b479-ede5d40472f9;2023-06-22 17:06:41 +02'00';41;BASE_DE_DONNEES_REVEO_MERCEDES.pdf
10;VRAI;5LagqWrBPX0;FR*M34*E34172*015*2*1;Unknown (not specified);2021-05-27 20:52:57+02:00;2021-05-28 05:32:18+02:00;08:39:20;519.000;43,216;0.083;kWh;0.035;1,5;0,25;1.250;0.173;EUR;20.000;[0, 0.1];VRAI;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;IDATA_STAMP_01;i.ymv;IDATA_SRC_DATARECORD;iData;911;6a48ef67-7946-42b4-9e26-2493b1db5d8e;2023-06-22 17:06:41 +02'00';41;BASE_DE_DONNEES_REVEO_MERCEDES.pdf
