sessionId;assetLabel;socketType;startTime;stopTime;duration;heure_1;heure_2;horaire;;totalDurationMinute;energy;consoTotalMinute;energyUnit;priceOfKw;Gamme de prix;priceInclVat;vatAmount;priceExclVat;priceByHour;currency;vatPercent;Subject;Author;Source;Layer;Annot_ID;Annot_UID;Modification Date;Page;pdf_filename
2021-05-12 15H-27MM;FR * ION * E401902;HPC (High Power Current);12/05/2021 15:27;12/05/2021 15:52;00:25:00;15:27:00;15:52:00;;journée;25;40,468;1,619;kWh;0,149;[0,10-0,20];6,0425;0;6,043;14,502;EUR;0;IDATA_STAMP_01;i.ymv;IDATA_SRC_DATARECORD;iData;42;;2023-03-08 11:40:41 +01'00';3;INC_FAF_2021-05-31-21,06C1,009_MERCEDES-ME-CHARGE_DFR00001389_A,pdf
2021-05-13 10H-03MM;FR * ION * E402705;HPC (High Power Current);13/05/2021 10:03;13/05/2021 10:26;00:23:00;10:03:00;10:26:00;FAUX;journée;23;33,354;1,45;kWh;0,167;[0,10-0,20];5,5591;0;5,559;14,502;EUR;0;IDATA_STAMP_01;i.ymv;IDATA_SRC_DATARECORD;iData;44;;2023-03-08 11:40:56 +01'00';3;INC_FAF_2021-05-31-21,06C1,009_MERCEDES-ME-CHARGE_DFR00001389_A,pdf
2021-05-15 09H-59MM;FR * ION * E402803;HPC (High Power Current);15/05/2021 09:59;13/05/2021 10:19;00:20:00;09:59:00;10:19:00;Nuit;journée;20;22,779;1,139;kWh;0,212;[0,20-0,30];4,834;0;4,834;14,502;EUR;0;IDATA_STAMP_01;i.ymv;IDATA_SRC_DATARECORD;iData;46;;2023-03-08 11:41:09 +01'00';3;INC_FAF_2021-05-31-21,06C1,009_MERCEDES-ME-CHARGE_DFR00001389_A,pdf
2021-05-16 09H-59MM;FR * ION * E402803;HPC (High Power Current);15/05/2021 09:59;13/05/2021 10:25;00:26:00;09:59:00;10:25:00;Nuit;journée;26;21,498;0,827;kWh;0,292;[0,20-0,30];6,2842;0;6,284;14,502;EUR;0;IDATA_STAMP_01;i.ymv;IDATA_SRC_DATARECORD;iData;50;;2023-03-08 11:41:34 +01'00';3;INC_FAF_2021-05-31-21,06C1,009_MERCEDES-ME-CHARGE_DFR00001389_A,pdf
2021-05-15 15H-15MM;FR * ION * E402704;HPC (High Power Current);15/05/2021 15:15;13/05/2021 15:41;00:26:00;15:15:00;15:41:00;Nuit;journée;26;36,133;1,39;kWh;0,174;[0,10-0,20];6,2842;0;6,284;14,502;EUR;0;IDATA_STAMP_01;i.ymv;IDATA_SRC_DATARECORD;iData;48;;2023-03-08 11:42:15 +01'00';3;INC_FAF_2021-05-31-21,06C1,009_MERCEDES-ME-CHARGE_DFR00001389_A,pdf
2021-05-16 11H-54MM;FR * ION * E401804;HPC (High Power Current);16/05/2021 11:54;16/05/2021 12:45;00:51:00;11:54:00;12:45:00;Nuit;journée;51;56,233;1,103;kWh;0,219;[0,20-0,30];12,3267;0;12,327;14,502;EUR;0;IDATA_STAMP_01;i.ymv;IDATA_SRC_DATARECORD;iData;52;;2023-03-08 11:41:46 +01'00';3;INC_FAF_2021-05-31-21,06C1,009_MERCEDES-ME-CHARGE_DFR00001389_A,pdf
2021-05-21 18H-09MM;FR * ION * E409602;HPC (High Power Current);21/05/2021 18:09;21/05/2021 18:34;00:25:00;18:09:00;18:34:00;Nuit;journée;25;40,798;1,632;kWh;0,148;[0,10-0,20];6,0425;0;6,043;14,502;EUR;0;IDATA_STAMP_01;i.ymv;IDATA_SRC_DATARECORD;iData;83;;2023-03-08 11:41:57 +01'00';3;INC_FAF_2021-05-31-21,06C1,009_MERCEDES-ME-CHARGE_DFR00001389_A,pdf
2021-05-24 11H-46MM;FR * ION * E404501;HPC (High Power Current);24/05/2021 11:46;24/05/2021 12:35;00:49:00;11:46:00;12:35:00;Nuit;journée;49;33,634;0,686;kWh;0,352;[0,30-0,40];11,8433;0;11,843;14,502;EUR;0;IDATA_STAMP_01;i.ymv;IDATA_SRC_DATARECORD;iData;85;;2023-03-08 11:42:07 +01'00';3;INC_FAF_2021-05-31-21,06C1,009_MERCEDES-ME-CHARGE_DFR00001389_A,pdf
qwd94A4kVb9;FR*M34*E34172*015*1*1;Unknown (not specified);2021-05-25 21:09:38+02:00;2021-05-26 05:29:33+02:00;08:19:55;2021-05-25 21:09:38+02:00;2021-05-26 05:29:33+02:00;;journée;499;27,392;0,055;kWh;0,055;[0-0,10];1,5;0,25;1,25;0,18;EUR;20;IDATA_STAMP_01;i.ymv;IDATA_SRC_DATARECORD;iData;59;;2023-03-08 12:51:30 +01'00';2;INC_FAF_2021-06-01-21,06C1,015_REVEO_2620_A,pdf
5LagqWrBPX0;FR*M34*E34172*015*2*1;Unknown (not specified);2021-05-27 20:52:57+02:00;2021-05-28 05:32:18+02:00;08:39:20;2021-05-27 20:52:57+02:00;2021-05-28 05:32:18+02:00;;journée;519;43,216;0,083;kWh;0,035;[0-0,10];1,5;0,25;1,25;0,173;EUR;20;IDATA_STAMP_01;i.ymv;IDATA_SRC_DATARECORD;iData;57;;2023-03-08 12:51:50 +01'00';2;INC_FAF_2021-06-01-21,06C1,015_REVEO_2620_A,pdf
m5wekVpW05z;FR*M34*E34172*015*2*1;Unknown (not specified);2021-06-11 23:29:51+02:00;2021-06-12 06:34:32+02:00;07:04:40;2021-06-11 23:29:51+02:00;2021-06-12 06:34:32+02:00;;journée;424;52,556;0,124;kWh;0,029;[0-0,10];1,5;0,25;1,25;0,212;EUR;20;IDATA_STAMP_01;i.ymv;IDATA_SRC_DATARECORD;iData;54;;2023-03-08 13:06:14 +01'00';2;INC_FAF_2021-07-01-21,07C1,004_REVEO_4118_A,pdf
